Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,1992,1151,18.3,7.9,6.7,2.9,0.2,0.7,0.1,12255963,5249537,6736924,0.3,229,71035,76,397,754,840,311,1066,75,,,0,,2.04,0.19548,0.31538,0.41182,0.14248,0.43527,0.47089,0.39618,0.3397,0.46829,0.63771,,0.48914,0.13901,0.67246,0.0391,0.09557
17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,149,99,18.4,7.5,6,1.9,1.2,1.5,0.3,460171,440066,516376,0,29,10938,83,22,77,,,74,25,0,0,0,0,1.79,0.22222,0.40404,0.23232,0.09091,0.41414,0.52525,0.20202,0.35354,0.39394,0.55556,,0.33333,0.13131,0.60606,0.0202,0.14141
17034,COMFORT CARE COASTAL HOME HEALTH,1390 NORTH MCKENZIE STREET,FAIRHOPE,AL,36532,867,576,16,6.9,5.6,2.4,0.5,0.7,0,4043596,2218693,2840377,0,92,29081,76,220,356,496,80,459,110,,,,,1.89,0.19271,0.27778,0.28819,0.16493,0.34028,0.48785,0.26042,0.34722,0.42361,0.61979,,0.51563,0.12326,0.59722,0.04688,0.11458
17035,INFIRMARY HOMECARE,1142-A MONTLIMAR DRIVE,MOBILE,AL,36609,1348,874,16.2,6.6,6.1,2.6,0.6,0.2,0.1,7457127,3483175,4467581,0.1,155,52401,75,360,514,714,160,588,270,,,0,,2.22,0.23341,0.28947,0.32723,0.17506,0.42449,0.5595,0.29863,0.24027,0.4405,0.64874,,0.56636,0.11899,0.59268,0.0389,0.13959
17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,873,556,16.1,7.5,5.5,2.1,0.3,0.7,0.1,4849061,2257217,2837194,0.2,102,33294,76,220,336,437,119,323,224,,,0,,2.48,0.22122,0.28597,0.31655,0.13849,0.45683,0.59892,0.29137,0.2446,0.47662,0.63669,,0.5,0.09712,0.56475,0.04856,0.15108
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,AL,35801,1842,1112,17.5,6.9,6,2.4,1.1,1.1,0.1,6349719,5443477,6260967,0,242,84228,77,379,733,897,215,890,193,,,0,13,2.17,0.17896,0.43165,0.32824,0.1295,0.39568,0.56565,0.29676,0.43076,0.43345,0.63669,,0.48381,0.1277,0.625,0.08183,0.13579
17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,AL,35216,164,121,19.3,9.1,6.5,3.6,0.3,0,0,1172041,500460,586892,0,28,10322,78,35,86,95,26,74,45,0,0,,,2.16,0.18182,0.39669,0.27273,0.12397,0.33058,0.61157,0.22314,0.43802,0.41322,0.66942,,0.43802,0.18182,0.67769,0.04132,0.16529
17048,GENTIVA HEALTH SERVICES,101 NORTH LINCOLN STREET,GENEVA,AL,36340,807,421,22.1,7.2,9,2.9,0.4,2.7,0,3154871,2281676,3040959,0.6,55,13943,76,150,271,270,151,373,44,,,0,,2,0.20903,0.31116,0.3753,0.14964,0.4038,0.51781,0.31829,0.38005,0.46081,0.57245,,0.54632,0.1829,0.72684,0.06413,0.11876
17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,AL,35816,219,131,18.2,7.3,5.4,2.1,0,3.5,0,834156,595293,674329,0,30,8873,75,58,73,93,38,85,43,,,0,0,2.78,0.24427,0.29771,0.45802,0.21374,0.43511,0.65649,0.41221,0.32061,0.55725,0.74046,,0.48092,0.0687,0.55725,0.06107,0.14504
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,1573,1115,16.8,6.8,6.3,2.3,1,0.3,0.1,5356235,4463350,5235106,0.1,209,74401,79,377,738,1005,110,867,229,,,0,11,1.98,0.20807,0.45381,0.29507,0.12646,0.39462,0.52287,0.26009,0.40717,0.37399,0.63049,,0.51211,0.18475,0.67713,0.0843,0.12646
17052,KINDRED AT HOME,1628 NORTH MCKENZIE STREET,FOLEY,AL,36535,786,471,18.8,7.9,7.6,2,0.5,0.7,0.1,2738691,2115909,2744147,0.1,48,16332,78,204,267,431,40,457,,,,,,1.97,0.27389,0.29724,0.36943,0.19321,0.36093,0.50318,0.3482,0.29936,0.4034,0.68365,,0.57537,0.17197,0.61571,0.05308,0.10191
17053,ENCOMPASS HOME HEALTH OF ALABAMA,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,AL,36305,2623,1543,16.9,8.1,6.2,1.1,0.3,1.2,0.1,9607603,6374797,8242310,0,170,51452,75,577,966,1066,477,1180,329,,19,,11,2.11,0.19313,0.31821,0.38756,0.13286,0.39404,0.53143,0.34543,0.43681,0.4906,0.68373,,0.56967,0.17498,0.73104,0.06416,0.1523
17054,KINDRED AT HOME,1108 EAST PARK DRIVE,BIRMINGHAM,AL,35235,1109,702,20.8,7.7,8.4,2.4,0.4,1.8,0.1,4169872,3544629,4171662,0.3,92,31883,78,243,459,596,106,518,173,,,0,,2.3,0.20655,0.40171,0.29202,0.12251,0.44444,0.57407,0.26211,0.39744,0.41738,0.64245,,0.52991,0.16667,0.63105,0.05128,0.13818
17055,GENTIVA HEALTH SERVICES,1988 HIGHWAY 14 EAST,PRATTVILLE,AL,36066,902,530,21.2,7.4,8.4,2.2,0.2,2.8,0.1,3312293,2582254,3276660,0.1,97,31795,78,187,343,463,67,432,91,,,0,,2.02,0.20755,0.38302,0.36038,0.14717,0.44151,0.54528,0.33396,0.34528,0.4283,0.61509,,0.54528,0.13962,0.66981,0.0434,0.14528
17056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,AL,36064,967,569,20.1,6.1,9.3,2.3,0.3,2.2,0.1,3518250,2898480,3699569,0,98,27284,78,200,369,479,90,305,250,,,0,,2.25,0.20035,0.33743,0.28471,0.14236,0.41476,0.55009,0.25132,0.30404,0.46221,0.65554,,0.529,0.13005,0.65554,0.06678,0.18805
17058,KINDRED AT HOME,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,998,605,19.1,6.7,8.3,2.4,0.7,1,0.1,3532033,2854529,3686191,0,48,14603,80,212,393,547,58,554,43,,,,,1.88,0.21983,0.39669,0.27603,0.15537,0.32893,0.47438,0.24132,0.33554,0.35207,0.55041,,0.53554,0.15868,0.64959,0.06281,0.12397
17063,INTREPID USA HEALTHCARE SERVICES,"200 CENTURY PARK SOUTH, SUITE 116",BIRMINGHAM,AL,35226,449,216,17.7,8.4,5.4,1.2,0.4,2.4,0.1,1364736,1099662,1382865,0,25,7150,73,87,129,136,80,137,74,,,0,,2.33,0.16667,0.3287,0.40278,0.11111,0.44444,0.59722,0.38889,0.30556,0.50463,0.61574,,0.56944,0.11111,0.60648,0.07407,0.14352
17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,1058,546,19.8,9.1,5.6,0.7,0.1,4,0.2,2808852,2438049,3103264,1.3,103,32907,79,212,334,459,87,435,102,,,,,2.31,0.26007,0.41026,0.32051,0.19963,0.43407,0.55495,0.28755,0.3022,0.4359,0.5989,,0.57143,0.11538,0.5348,0.05861,0.11355
17067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,AL,36106,325,177,15.5,7.6,3.6,3.5,0,0.8,0.1,1004465,831855,1036701,0,56,16762,77,69,108,136,41,65,109,0,0,,,2.72,0.21469,0.42373,0.33898,0.15254,0.48588,0.58192,0.31638,0.26554,0.54237,0.67797,,0.53107,0.0678,0.67232,0.0904,0.17514
17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,2003,1017,18.1,7.9,4.7,2.3,1.1,1.5,0.6,7009039,5037255,6469770,0.2,135,40601,77,361,656,838,179,884,102,,,13,,2.23,0.2409,0.40216,0.34612,0.11996,0.41888,0.50934,0.33432,0.41495,0.39823,0.56342,,0.58997,0.11701,0.59489,0.10226,0.13766
17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,810,328,15.5,7.5,3.9,2.2,0.6,1.2,0.1,2395242,1839288,2369532,0.1,58,16971,76,129,199,233,95,267,59,0,0,,,1.88,0.22256,0.30183,0.30793,0.1311,0.44512,0.45427,0.26829,0.21341,0.4878,0.6189,,0.62195,0.10366,0.6311,0.03354,0.09756
17071,GENTIVA HEALTH SERVICES,20 ALMON DRIVE SUITE C,MOULTON,AL,35650,6940,3367,20.5,8.5,6.5,2.7,0.3,2.3,0.1,25620474,19090877,24361534,0.6,710,200521,78,1169,2198,2522,845,2990,329,,21,,15,2.12,0.19572,0.37541,0.36383,0.12296,0.40392,0.49569,0.34482,0.38046,0.45857,0.62459,,0.51262,0.139,0.66766,0.05584,0.11821
17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,432,239,16.7,8,4.5,1.6,0,2.6,0,1304075,985137,1268042,0,29,9637,74,79,160,125,114,131,106,0,,0,,2.26,0.19247,0.30544,0.38912,0.11297,0.48536,0.50209,0.38075,0.33054,0.53556,0.58159,,0.5272,0.06695,0.68619,0.0795,0.14226
17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,835,399,17.1,9.5,4.1,0.9,0.5,2.1,0.1,2629711,1998272,2353342,0.6,108,34176,75,145,254,255,144,266,129,,0,,,2.08,0.17043,0.31328,0.36591,0.13033,0.39348,0.51128,0.32331,0.31328,0.50877,0.6817,,0.45363,0.07519,0.64912,0.06266,0.11529
17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,99,67,19.9,8.3,5.1,0,0,6.5,0,206569,220658,282459,1.1,,,78,21,46,46,21,62,,0,0,0,,2,0.25373,0.35821,0.35821,0.07463,0.46269,0.40299,0.32836,0.34328,0.32836,0.56716,,0.58209,0.1194,0.50746,0.07463,0.08955
17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,1742,1030,17,7.8,4.2,1.3,0.5,3.2,0,4977591,4352969,5068488,0.7,239,84497,76,341,689,764,266,703,318,,,0,,2.37,0.24078,0.34078,0.40194,0.17961,0.42718,0.5699,0.37961,0.36699,0.44757,,,0.52718,0.14563,0.72524,0.06602,0.15631
17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,127,73,14.2,9.8,1.3,0,0,3.2,0,223292,214406,251523,0.1,,,77,28,45,37,36,52,21,0,0,0,0,2.54,0.12329,0.34247,0.42466,0.09589,0.54795,0.52055,0.45205,0.35616,0.42466,0.69863,,0.57534,0.10959,0.52055,0.05479,0.09589
17084,GENTIVA  HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,678,377,19.5,7.7,7.1,3,0.8,0.7,0.1,2447297,1919788,2488993,0.2,64,19615,74,140,237,188,189,107,269,,0,0,,2.59,0.10345,0.3183,0.3183,0.16976,0.55703,0.62334,0.30504,0.24934,0.56233,0.65782,,0.65252,0.07958,0.60212,0.09549,0.14589
17085,COOSA VALLEY HOMECARE,"209 WEST SPRING STREET, SUIT 305",SYLACAUGA,AL,35150,403,262,18.9,8.1,7,3.2,0.5,0.4,0.1,2620606,1106592,1422720,1.1,57,19787,75,106,156,190,72,216,44,0,,,0,2.08,0.17557,0.25954,0.36641,0.10687,0.37786,0.48855,0.35115,0.24046,0.43511,0.51527,,0.43893,0.07252,0.59924,0.04198,0.14122
17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,433,225,13.3,7.6,5,0,0.3,0.3,0.1,1939852,923832,1197373,0,39,13229,75,77,148,86,139,52,171,,0,0,,2.21,0.13778,0.27556,0.24889,0.09333,0.39111,0.51111,0.20444,0.09778,0.55111,0.43556,,0.41778,0.04889,0.57333,0.04,0.11111
17088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,AL,35555,706,334,17.4,8.1,4.6,4.1,0.2,0.7,0,4025419,1832414,2355304,0.3,61,21300,78,140,194,228,106,291,41,0,,0,,2.17,0.18862,0.30838,0.45509,0.18563,0.52395,0.56287,0.41916,0.23353,0.46108,0.64072,,0.57784,0.11377,0.71257,0.05389,0.11677
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1792 ALABAMA HWY 157 NE,CULLMAN,AL,35058,305,248,13.2,6.2,5.4,1.2,0,0.4,0,610331,682205,869507,1,48,16476,76,103,145,183,65,240,,0,,,,1.79,0.21774,0.18548,0.33468,0.125,0.45161,0.42742,0.32661,0.2379,0.41129,0.625,,0.4879,0.1371,0.65323,0.02016,0.07661
17090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,829,408,19.6,9.6,5.5,0,0,4.5,0,2475874,1866351,2413496,0.1,31,9499,75,155,253,239,169,189,216,0,0,,,2.18,0.15441,0.32843,0.30392,0.10049,0.43137,0.45588,0.28676,0.18627,0.52941,0.55882,,0.46324,0.06618,0.75,0.07598,0.09069
17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,446,214,20.2,7.2,5.7,0.3,0.3,6.7,0,1034551,1166774,1385241,0,30,8254,76,67,147,101,113,75,139,0,0,0,0,1.95,0.13551,0.30374,0.35981,0.1028,0.50467,0.6028,0.3271,0.3271,0.50467,0.66822,,0.49065,0.06542,,0.1028,0.11215
17092,MEDICAL CENTER HOME HEALTH,194 WILLIAM E HILL DRIVE,CARROLLTON,AL,35447,246,142,18.2,8.5,3.8,0.4,0.1,5.4,0,465429,521467,628323,0.2,31,10426,76,54,88,93,49,88,52,0,,0,,2.05,0.16901,0.28873,0.35211,0.14085,0.4507,0.45775,0.33099,0.26761,0.45775,0.74648,,0.53521,0.09859,0.61972,0.02113,0.11972
17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,253,119,14.2,8.4,3.3,0.5,0.2,1.8,0,577469,508275,663994,0,19,5294,75,44,75,84,35,117,,0,0,0,,2.21,0.2521,0.19328,0.37815,0.17647,0.42857,0.53782,0.37815,0.32773,0.52101,0.65546,,0.61345,0.09244,0.66387,0.06723,0.09244
17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,AL,35960,559,220,19,8.5,5.8,1.3,0,3.3,0.1,1648177,1296077,1682786,0,21,5963,77,79,141,149,71,215,,0,0,0,,2.2,0.27727,0.39545,0.53636,0.11818,0.52727,0.65,0.49545,0.38636,0.52727,0.65455,,0.59091,0.06818,0.59091,0.04545,0.07727
17095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,AL,35611,792,522,18.3,8.4,6.1,2.3,0.8,0.9,0,4879285,2399085,2713288,0.1,63,22447,76,189,333,390,132,458,58,0,,,,2.18,0.22031,0.28736,0.3659,0.16667,0.4387,0.50766,0.34674,0.32184,0.48084,0.65517,,0.5,0.16284,0.62452,0.04789,0.12069
17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,AL,36081,688,354,15,7.9,4.8,1.8,0.1,0.3,0.1,3475556,1577727,2043733,0,82,22240,75,124,230,225,129,236,114,,,,0,1.88,0.16384,0.30226,0.39831,0.11017,0.41525,0.54237,0.34746,0.25989,0.4887,0.64124,,0.51412,0.11582,0.61582,0.0791,0.09887
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,731,353,13,7.9,3,1.7,0,0.3,0,3194633,1492890,1935118,0,65,21549,77,124,229,224,129,308,43,0,,0,,1.9,0.18414,0.31728,0.38244,0.11615,0.48159,0.43626,0.37677,0.29745,0.50142,0.70822,,0.57224,0.08782,0.66289,0.04816,0.15014
17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,AL,35570,447,208,20.5,8.5,5.4,3.5,2.2,1.1,0.2,2924212,1216992,1575797,0.5,58,17019,77,78,130,146,62,200,,0,,0,,1.68,0.15865,0.34615,0.42308,0.08173,0.48558,0.45673,0.39904,0.28365,0.49519,0.70192,,0.55288,0.14904,0.55288,0.05769,0.14904
17101,HEALTH NOW HOME HEALTH,751 DERBY DRIVE,YORK,AL,36925,28,20,12.8,8.8,0,0,0,4.1,0,63444,45247,58640,0,0,,79,,,,,,19,0,0,0,,1.85,0.1,0.35,0.2,0.1,0.4,0.35,0.2,0.1,0.7,0.7,,0.3,0.1,0.75,0,0.15
17102,GREEN COUNTY HEALTH SYSTEM HOME HEALTH AGENCY,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,93,65,13,11.1,1.8,0,0.1,0,0,260047,164313,212882,0,,,76,33,32,24,41,14,51,0,0,0,0,1.92,0.15385,0.26154,0.44615,0.18462,0.46154,0.56923,0.4,0.30769,0.58462,0.69231,,0.44615,0.01538,0.69231,0,0.07692
17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,420,165,14.5,8.4,2.1,0.2,0,3.7,0,591697,725425,935108,0.1,40,11331,76,66,99,82,83,59,106,0,0,0,0,1.99,0.15152,0.33939,0.39394,0.09697,0.57576,0.53939,0.33939,0.25455,0.58182,0.73939,,0.48485,0.04242,0.60606,0.04848,0.12727
17104,HIGHLANDS HOME HEALTH,901 HEROES DRIVE,SCOTTSBORO,AL,35768,557,235,15.9,8.3,3.7,2.2,0.3,1.3,0,1226174,1222118,1582608,0.1,39,12546,76,82,153,144,91,221,12,0,,0,,2.13,0.23404,0.37021,0.45106,0.13191,0.46809,0.58298,0.42979,0.37447,0.52766,0.61277,,0.65106,0.19149,,0.04255,0.1234
17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,316,152,16,7.7,3.1,0,0,5.2,0,730180,602981,779387,0.1,36,7805,78,45,107,94,58,84,67,0,0,,,2.26,0.13158,0.38816,0.44079,0.17105,0.47368,0.33553,0.43421,0.30921,0.54605,0.51316,,0.63158,0.04605,,0.04605,0.17105
17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,AL,35045,1081,626,18.3,7.6,6.2,1.6,1,2,0.1,2872223,2985503,3558728,0.1,96,30111,77,231,395,514,112,558,60,,,0,,2.11,0.22843,0.38658,0.40895,0.1262,0.5,0.61502,0.39617,0.40895,0.42812,0.71885,,0.58626,0.16134,0.67891,0.08466,0.15176
17109,NORTHWEST HOME HEALTH - HALEYVILLE,42030 HIGHWAY 195 SUITE D,HALEYVILLE,AL,35565,207,136,17.3,8.8,4,0.8,0,3.7,0,755811,438897,568235,0,15,5049,76,39,97,85,51,133,,0,,0,,1.96,0.19118,0.33088,0.60294,0.16176,0.45588,0.51471,0.63235,0.48529,0.48529,0.66176,,0.52941,0.13235,0.72794,0.04412,0.13971
17112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,AL,36545,392,189,16.9,9.8,3.4,0,0.1,3.7,0,1074339,755837,973990,0.2,26,8596,78,77,112,146,43,136,53,0,0,0,0,1.68,0.15873,0.37566,0.2381,0.13757,0.38624,0.45503,0.22222,0.21693,0.41799,0.49206,,0.51323,0.04233,0.52381,0.02116,0.14286
17115,GADSDEN REGIONAL HOME HEALTH,301 S 4TH STREET,GADSDEN,AL,35901,457,231,18.2,8.4,4.5,2,0,3.3,0,1280014,1046211,1342426,0,43,14015,74,87,144,173,58,198,29,,,,0,2.26,0.18182,0.24242,0.56277,0.11255,0.51515,0.61039,0.53247,0.35498,0.50216,0.65801,,0.62338,0.1039,0.69697,0.09091,0.1342
17116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,707,350,19.1,8.1,5.3,0.7,0.6,4.3,0,1729680,1703492,2127670,0.1,78,22053,79,119,231,282,68,285,59,0,,,,2.31,0.22,0.44,0.38,0.12571,0.48286,0.53143,0.36571,0.35429,0.47143,0.51429,,0.55714,0.11714,0.72857,0.06,0.13714
